k,x_k,y_k,"f(x_k,y_k)",||grad||_2
0,0.0,10.0,10001.0,2000.00099999975
1,-0.00030015007503751874,4.0,1601.0005283181872,800.0014266651584
2,-0.0010513141596176277,1.6000005049779533,257.00191164289396,320.0026407714594
3,-0.002934170004587011,0.6400048240940792,41.965392437574934,128.00539258471352
4,-0.007672469919088901,0.2560349012047649,7.567776825865193,51.209974725384136
5,-0.01971751404795392,0.10263411103620718,2.085234572960105,20.48620652440317
6,-0.05117560587487198,0.042527463365659796,1.2642391570641032,8.084546402397308
7,-0.14151248500263425,0.02782843997267668,1.3091388983578678,2.4136794686451437
8,-1.3634022814883369,0.3689721690361527,227.56396789115405,869.8848076730305
9,-1.3586593306944301,1.249975236448224,41.082482778340214,349.5607849966346
10,-1.3468852638479332,1.5755693091466856,11.197555385438386,141.48831519454265
11,-1.3179745000585885,1.6408087086121907,6.299374961498278,58.62725034251145
12,-1.2492924677766253,1.5175152188080316,5.246082771334647,27.48878968105153
13,-1.1093427777758273,1.1937689023779177,4.585285051944781,21.861731428574245
14,-0.9582166471708353,0.8805910370734915,3.975899007334616,19.805644407220296
15,-0.8202755524592912,0.638788994015446,3.4294318016683802,16.30809479156017
16,-0.6804801362767369,0.429885262302773,2.9340248027859204,14.053191314957946
17,-0.5483944482054746,0.2700226604035547,2.491859182279161,11.594959723156162
18,-0.41832758359163996,0.14579505375553403,2.096934149704138,9.682993395880265
19,-0.29392348104414157,0.059233466603222776,1.7479912058467055,7.932104630583851
20,-0.17321245320790135,0.0045683832626646215,1.4411171641985288,6.538863034695921
21,-0.05756490045509055,-0.020234306966763586,1.1738944655485561,5.4075747629147575
22,0.053570448881404775,-0.018900482771256878,0.9431233859172712,4.581735920268583
23,0.15963168927807914,0.005525179201447218,0.7460474698134854,4.012057847347274
24,0.2606492447298403,0.04975064346065614,0.5797176377875681,3.661359557702126
25,0.3563069584147384,0.11052929630030817,0.44131995165067905,3.4498931417943366
26,0.44643752413024573,0.1846128031495648,0.32802177852868153,3.307085437538702
27,0.5307635175874081,0.26872157450843,0.237052566471937,3.171232291659422
28,0.609020303633509,0.3595862708382547,0.1656781390807456,3.0046656215151586
29,0.6808939521643194,0.4539229689809771,0.11122526777392615,2.7868085403819243
30,0.746045978242798,0.5484623731049347,0.07108970482414516,2.5118820823500565
31,0.8041048714044563,0.6399649177222929,0.042756979293112715,2.1843443590349323
32,0.8546813962551753,0.7252744136410868,0.02382761052860608,1.8170004024165425
33,0.8973975564502441,0.8014153537956146,0.012053742362419606,1.4296897660311716
34,0.9319553897579615,0.8657837964450882,0.005390202585741438,1.0484109623462672
35,0.958271292927055,0.9164885232669543,0.002063612287688527,0.7032856254510876
36,0.9766936208100776,0.9528729077340158,0.0006550224191726266,0.42318241961736974
37,0.9882361536869565,0.9760544569099424,0.00016932821186531723,0.22567565685015875
38,0.9945878498316242,0.9889421515711602,3.6199827698960366e-05,0.1074757398781946
39,0.9976729620840128,0.9952366855712649,6.729652605790443e-06,0.047064690098136235
40,0.9990378861149328,0.998028973394494,1.1534259035413081e-06,0.01962477393360139
41,0.9996096965725182,0.9992001287152028,1.9003784802048586e-07,0.007990223867930996
42,0.9998429727352458,0.9996781490036458,3.077456057620882e-08,0.003219449502308132
43,0.9999370419486856,0.9998709505623073,4.947980588867043e-09,0.0012915788985382562
44,0.9999747930921584,0.9999483304750443,7.932283935932411e-10,0.0005172434410066907
45,0.9999899134375881,0.9999793242104259,1.2701615554531083e-10,0.00020699553746436546
46,0.9999959647665488,0.9999917284061665,2.032896827153104e-11,8.281393748999242e-05
47,0.9999983858092232,0.9999966911579048,3.2530436688272557e-12,3.31280916538184e-05
48,0.9999993543081084,0.9999986764304368,5.205131454713604e-13,1.3251639390357297e-05
49,0.9999997417207496,0.9999994705669369,8.328377818233232e-14,5.300720245910261e-06
50,0.9999998966879029,0.9999997882259409,1.332551120044129e-14,2.1202983963701423e-06
51,0.9999999586751085,0.9999999152902647,2.1320877003118737e-15,8.481210007564133e-07
52,0.9999999834700417,0.9999999661161015,3.411341720017286e-16,3.392486218674281e-07
53,0.9999999933880049,0.9999999864464167,5.458164187916672e-17,1.356995552700023e-07
54,0.9999999973551936,0.9999999945785499,8.733108619349427e-18,5.42798310359744e-08
55,0.9999999989420661,0.9999999978313974,1.3973212926538912e-18,2.1711915223590925e-08
56,0.9999999995768254,0.9999999991325569,2.235720278467105e-19,8.684732729647998e-09
57,0.9999999998307275,0.9999999996530174,3.5772456466642937e-20,3.4739098484422816e-09
58,0.9999999999323044,0.9999999998612338,5.721738105521057e-21,1.3895502883095066e-09
59,0.999999999972918,0.9999999999444861,9.156633511585477e-22,5.557955936575626e-10
60,0.9999999999891805,0.9999999999778213,1.4619800902335258e-22,2.222655360766213e-10
61,0.9999999999956819,0.9999999999911479,2.3308938298676477e-23,8.892269999525838e-11
